Artist,Title,Difficulty,Link,Mod,Length,Star,Song No.
Mind Vortex,Arc,Nsane,https://osu.ppy.sh/b/239037,Hidden,2:33,5.18,2
An,artcore JINJA,Lunatic,https://osu.ppy.sh/b/297411,Hidden,2:12,5.01,3
Renard,Blue Night,DoKo,https://osu.ppy.sh/b/116006,Hidden,3:37,5.08,4
Zedd,Clarity feat. Foxes (IOSYS uno DENPA Remix),Insane,https://osu.ppy.sh/b/236344,Hidden,3:32,5.02,5
ONE OK ROCK,Clock Strikes,Insane,https://osu.ppy.sh/b/633373,Hidden,3:29,5.02,6
Lifetheory,Daisy,Blossom,https://osu.ppy.sh/b/304602,Hidden,1:49,4.92,7
Gavin G,Desire,Aspiration,https://osu.ppy.sh/b/559809&m=0,Hidden,2:25,4.97,8
nao,Dimensional Tripper!!!!,wkyik's Insane,https://osu.ppy.sh/b/334843&m=0,Hidden,4:10,5.1,9
Masayoshi Minoshima,Flight of the Bamboo Cutter,Lunatic,https://osu.ppy.sh/b/148000,Hidden,3:23,5.16,10
DJ Fresh,Gold Dust,Insane,https://osu.ppy.sh/b/93842,Hidden,3:01,4.93,11
Rise Against,Injection,oko's Insane,https://osu.ppy.sh/b/560651,Hidden,2:21,5.08,12
senya,Kanjou Chemistry (Drum 'n' Bass Remix),Exw,https://osu.ppy.sh/b/255700,Hidden,4:39,5.15,13
Hanatan,Kimi No Kiseki,S.S,https://osu.ppy.sh/b/165883,Hidden,2:22,5.15,14
paraoka,Manima ni (Short ver),108,https://osu.ppy.sh/b/131362,Hidden,2:30,4.98,15
Traktion,Mission ASCII,Another,https://osu.ppy.sh/b/162405,Hidden,3:18,5.02,16
Toyosaki Aki,MORE&MORE,Insane,https://osu.ppy.sh/b/318975,Hidden,3:38,5.06,17
Sota Fujimori,Move That Body (Extended Mix),RLC's Insane,https://osu.ppy.sh/b/547229,Hidden,4:00,4.92,18
Perfume,MY COLOR,Extra,https://osu.ppy.sh/b/315660,Hidden,4:52,5,19
u's,No Brand Girls,Insane,https://osu.ppy.sh/b/245658,Hidden,3:59,4.93,20
Tristam ,Once Again,Collab,https://osu.ppy.sh/b/502418,Hidden,3:31,4.98,21
ayaponzu*,Otsukimi Recital,Insane,https://osu.ppy.sh/b/416213,Hidden,3:34,5.11,22
Jeff William's,Red Like Roses,Ruby,https://osu.ppy.sh/b/244781,Hidden,3:07,5.11,23
Owl City,Up All Night,Insane,https://osu.ppy.sh/b/676636,Hidden,3:30,4.98,24
DJ YOSHITAKA,VALLIS-NERIA,Extreme,https://osu.ppy.sh/b/186061,Hidden,2:05,5.17,25
Yousei Teikoku,Wahreit,Saten,https://osu.ppy.sh/b/164183,Hidden,4:29,5.18,26
Reol,Asymmetry,P A N's Extra,https://osu.ppy.sh/b/661705&m=0,None,4:10,5.49,0
Memme,BSPower Explosion,108,https://osu.ppy.sh/b/140937,None,2:17,5.3,1
MARiA,Buriki No Dance,AriExtra,https://osu.ppy.sh/s/201482,None,3:05,5.44,2
Wotamin,Chikyuu No Saigo Kokuhaku,Love,https://osu.ppy.sh/b/242093,None,4:20,5.34,3
ClariS,Colorful (tamane's apostate remix),Insane,https://osu.ppy.sh/b/470732,None,5:20,5.38,4
LiSA,EGOiSTiC SHOOTER,Kyshiro's Extra,https://osu.ppy.sh/s/253313,None,2:51,5.3,5
Cres,End Time,Extra,https://osu.ppy.sh/b/432839,None,2:08,5.37,6
Mitsunori Ikeda,Fallen Angel (El Poco Maro Remix),Ascension,https://osu.ppy.sh/b/403050,None,5:49,5.03,7
BiBi,Fuyu Ga Kureta Yokan,Expert,https://osu.ppy.sh/b/599487&m=0,None,2:15,5.28,8
Supercell,Hoshi Ga Matataku Konna Yoru Ni,Starlight,https://osu.ppy.sh/s/294042,None,4:24,5:27,9
yuikonnu,Kakushigoto,Insane,https://osu.ppy.sh/b/315260,None,3:44,5.25,10
ZUN,Kobito of the Shining Needle~Little Princess,Extra,https://osu.ppy.sh/b/306018,None,3:40,5.2,11
Sana,Kokuhaku Yokou Renshuu,Expert,https://osu.ppy.sh/b/679226&m=0,None,2:37,5.13,12
Dark PHOENiX,Last Remote-type gamma,Insane,https://osu.ppy.sh/b/236344,None,3:53,5.24,13
Lon,MATRYOSHKA,Extra,https://osu.ppy.sh/b/285086,None,3:30,5.31,14
Tamura Yukari,MERRY MERRY MENU...NE,Extra,https://osu.ppy.sh/b/509913,None,3:19,5.31,15
AKINO,MIIRO,Miiro,https://osu.ppy.sh/b/592367&m=0,None,4:10,5.46,16
rerulili,Noushou Sakuretsu Girl,Rin,http://osu.ppy.sh/b/16240,None,2.54,5.16,17
UPLIFT SPICE,Omega Rhythm,Extra,https://osu.ppy.sh/b/366140,None,2:47,5.47,18
t+pazolite,Pumpin' Junkies,DUGEM,https://osu.ppy.sh/b/462678,None,4:08,5.45,19
nano.RIPE,Real World,Insane,https://osu.ppy.sh/b/177735,None,3:22,5.21,20
Blue Stahli,Shotgun Senorita (Zardonic Remix),Insane,https://osu.ppy.sh/s/65853,None,2:11,5.33,21
"Fear, and Loathing in Las Vegas",Swing it!!,Extra,https://osu.ppy.sh/b/492543,None,3:37,5.33,22
Indivision & Livewire(feat. Tasha Baxter),Won't You Stay,Forever And a Day,https://osu.ppy.sh/b/692389,None,5:07,5.37,23
An,Xhroria,Another,https://osu.ppy.sh/b/227772&m=0,None,2:01,5.18,24
BMS(Junk),Yellow Smile(bms edit),Extra,https://osu.ppy.sh/b/537989,None,1:55,5.2,25
Himeringo,Yotsuya-San ni Yoroshiku,Insane,https://osu.ppy.sh/b/351993&m=0,None,2:51,5.15,26
xi,Happy End of the World,Happy End,https://osu.ppy.sh/s/129676,Tiebreaker,6:17,5.45,0
Demetori,Kanjou No Matenrou~ World's End,Extra Stage,https://osu.ppy.sh/b/335628?m=0,Tiebreaker,7:07,5.6,1
Halozy,Kanshou No Matenrou,Eternal,https://osu.ppy.sh/s/179699,Tiebreaker,5:26,5.67,2
Functional Phantom,Neuronecia,Ethereal,https://osu.ppy.sh/b/541990?m=0,Tiebreaker,3:26,5.28,3
Renard,Smoke Tower,Trauma,https://osu.ppy.sh/b/339640,Tiebreaker,3:49,5.55,4
supercell,The Bravery,Depravity,https://osu.ppy.sh/b/631413,Tiebreaker,5:48,5.54,5
Infected Mushroom,The Pretender,Pretender,https://osu.ppy.sh/s/79498,Tiebreaker,6:25,5.49,6
TRakker,Trail of Dust,Trail of Star,https://osu.ppy.sh/s/207045,Tiebreaker,6:30,5.67,7
Our Stolen Theory,United (L.A.O.S Remix),Infinity,https://osu.ppy.sh/b/550235?m=0,Tiebreaker,5:25,5.64,8
